brand    , processor_number                                    , vertical_segment     , socket_supported                , base_frequency_ghz, total_cores, total_threads, tdp_w , launch_year, launch_date
Apple    , A11 BIONIC                                          , Mobile/EmbeddedSocket,                                 ,               2.4 ,         6.0,           6.0,       ,      2021.0, Q1 2021
Apple    , A12 BIONIC                                          , Mobile/EmbeddedSocket,                                 ,               2.5 ,         6.0,           6.0,       ,      2021.0, Q1 2021
Apple    , A12X BIONIC                                         , Mobile/EmbeddedSocket,                                 ,               2.5 ,         8.0,           8.0,       ,      2021.0, Q1 2021
Apple    , A12Z BIONIC                                         , Mobile/EmbeddedSocket,                                 ,               2.5 ,         8.0,           8.0,       ,      2021.0, Q1 2021
Apple    , A13 BIONIC                                          , Mobile/EmbeddedSocket,                                 ,               2.7 ,         6.0,           6.0,       ,      2021.0, Q1 2021
Apple    , A14 BIONIC                                          , Mobile/EmbeddedSocket,                                 ,               3.0 ,         6.0,           6.0,       ,      2021.0, Q1 2021
Apple    , A15 BIONIC                                          , Mobile/EmbeddedSocket,                                 ,                   ,         6.0,           6.0,       ,      2021.0, Q1 2021
Apple    , A16                                                 , Mobile/EmbeddedSocket,                                 ,                   ,         6.0,           6.0,       ,      2022.0, Q1 2022
Apple    , A16 BIONIC                                          , Mobile/EmbeddedSocket,                                 ,                   ,         6.0,           6.0,       ,      2022.0, Q1 2022
Apple    , A17 PRO                                             , Mobile/EmbeddedSocket,                                 ,                   ,         6.0,           6.0,       ,      2023.0, Q1 2023
Apple    , A18                                                 , Mobile/EmbeddedSocket,                                 ,                   ,         6.0,           6.0,   8.0 ,      2024.0, Q1 2024
Apple    , A18 PRO                                             , Mobile/EmbeddedSocket,                                 ,                   ,         6.0,           6.0,   8.0 ,      2024.0, Q1 2024
Apple    , A19                                                 , Mobile/EmbeddedSocket,                                 ,                   ,         6.0,           6.0,       ,      2025.0, Q1 2025
Apple    , A19 PRO                                             , Mobile/EmbeddedSocket,                                 ,                   ,         6.0,           6.0,       ,      2025.0, Q1 2025
Apple    , A8                                                  , Mobile/EmbeddedSocket,                                 ,               1.5 ,         3.0,           3.0,       ,      2021.0, Q1 2021
Apple    , A8X                                                 , Mobile/EmbeddedSocket,                                 ,               1.5 ,         3.0,           3.0,       ,      2021.0, Q1 2021
Apple    , A9                                                  , Mobile/EmbeddedSocket,                                 ,               2.2 ,         2.0,           2.0,       ,      2021.0, Q1 2021
Apple    , A9X                                                 , Mobile/EmbeddedSocket,                                 ,               2.2 ,         2.0,           2.0,       ,      2021.0, Q1 2021
Apple    , M1                                                  , Desktop              ,                                 ,               3.2 ,         8.0,           8.0,  15.0 ,      2021.0, Q1 2021
Apple    , M1 MAX                                              , Desktop              ,                                 ,               3.2 ,        10.0,          10.0,       ,      2021.0, Q1 2021
Apple    , M1 PRO                                              , Desktop              ,                                 ,               3.2 ,        10.0,          10.0,       ,      2021.0, Q1 2021
Apple    , M1 PRO                                              , Desktop              ,                                 ,               3.2 ,         8.0,           8.0,       ,      2021.0, Q1 2021
Apple    , M1 ULTRA                                            , DesktopSocket        ,                                 ,                   ,        20.0,          20.0,  60.0 ,      2022.0, Q1 2022
Apple    , M2                                                  , Desktop              ,                                 ,               3.5 ,         8.0,           8.0,       ,      2022.0, Q1 2022
Apple    , M2 MAX                                              , LaptopSocket         ,                                 ,               3.7 ,        12.0,          12.0,       ,      2023.0, Q1 2023
Apple    , M2 PRO                                              , Desktop              ,                                 ,               3.5 ,        10.0,          10.0,       ,      2023.0, Q1 2023
Apple    , M2 PRO                                              , LaptopSocket         ,                                 ,               3.5 ,        12.0,          12.0,       ,      2023.0, Q1 2023
Apple    , M2 ULTRA                                            , DesktopSocket        ,                                 ,                   ,        24.0,          24.0,       ,      2023.0, Q1 2023
Apple    , M3                                                  , Desktop              ,                                 ,                   ,         8.0,           8.0,  20.0 ,      2023.0, Q1 2023
Apple    , M3 MAX                                              , LaptopSocket         ,                                 ,                   ,        14.0,          14.0,  78.0 ,      2023.0, Q1 2023
Apple    , M3 MAX                                              , LaptopSocket         ,                                 ,                   ,        16.0,          16.0,  78.0 ,      2023.0, Q1 2023
Apple    , M3 PRO                                              , LaptopSocket         ,                                 ,                   ,        11.0,          11.0,  27.0 ,      2023.0, Q1 2023
Apple    , M3 PRO                                              , LaptopSocket         ,                                 ,                   ,        12.0,          12.0,  27.0 ,      2023.0, Q1 2023
Apple    , M3 ULTRA                                            , DesktopSocket        ,                                 ,                   ,        28.0,          28.0,       ,      2025.0, Q1 2025
Apple    , M3 ULTRA                                            , DesktopSocket        ,                                 ,                   ,        32.0,          32.0,       ,      2025.0, Q1 2025
Apple    , M4                                                  , Desktop              ,                                 ,                   ,        10.0,          10.0,  22.0 ,      2024.0, Q1 2024
Apple    , M4                                                  , DesktopSocket        ,                                 ,                   ,         8.0,           8.0,  22.0 ,      2024.0, Q1 2024
Apple    , M4                                                  , Mobile/EmbeddedSocket,                                 ,                   ,         9.0,           9.0,  22.0 ,      2024.0, Q1 2024
Apple    , M4 MAX                                              , LaptopSocket         ,                                 ,                   ,        14.0,          14.0,       ,      2024.0, Q1 2024
Apple    , M4 MAX                                              , LaptopSocket         ,                                 ,                   ,        16.0,          16.0,       ,      2024.0, Q1 2024
Apple    , M4 PRO                                              , Desktop              ,                                 ,                   ,        12.0,          12.0,       ,      2024.0, Q1 2024
Apple    , M4 PRO                                              , Desktop              ,                                 ,                   ,        14.0,          14.0,       ,      2024.0, Q1 2024
ARM      , ARM GENERIC                                         , Socket               ,                                 ,                   ,        10.0,          10.0,       ,      2025.0, Q1 2025
ARM      , ARM GENERIC                                         , Socket               ,                                 ,               2.0 ,        10.0,          10.0,       ,      2025.0, Q1 2025
ARM      , ARM GENERIC                                         , Mobile/EmbeddedSocket,                                 ,                   ,        12.0,          12.0,       ,      2023.0, Q1 2023
ARM      , ARM GENERIC                                         , Socket               ,                                 ,               2.0 ,        12.0,          12.0,       ,      2025.0, Q1 2025
ARM      , ARM GENERIC                                         , Socket               ,                                 ,               2.6 ,        14.0,          14.0,       ,      2025.0, Q1 2025
ARM      , ARM GENERIC                                         , Socket               ,                                 ,                   ,        16.0,          16.0,       ,      2024.0, Q1 2024
ARM      , ARM GENERIC                                         , Mobile/EmbeddedSocket,                                 ,                   ,         2.0,           2.0,       ,      2023.0, Q1 2023
ARM      , ARM GENERIC                                         , Mobile/EmbeddedSocket,                                 ,                   ,        20.0,          20.0,       ,      2023.0, Q1 2023
ARM      , ARM GENERIC                                         , Mobile/EmbeddedSocket,                                 ,               2.9 ,        32.0,          32.0,       ,      2023.0, Q1 2023
ARM      , ARM GENERIC                                         , Socket               ,                                 ,               3.0 ,        32.0,          32.0,       ,      2025.0, Q1 2025
ARM      , ARM GENERIC                                         , Mobile/EmbeddedSocket,                                 ,               3.3 ,        32.0,          32.0,       ,      2023.0, Q1 2023
ARM      , ARM GENERIC                                         , Socket               ,                                 ,                   ,         4.0,           4.0,       ,      2024.0, Q1 2024
ARM      , ARM GENERIC                                         , Socket               ,                                 ,               1.8 ,         4.0,           8.0,       ,      2025.0, Q1 2025
ARM      , ARM GENERIC                                         , Socket               ,                                 ,               1.8 ,         4.0,           8.0,       ,      2025.0, Q1 2025
ARM      , ARM GENERIC                                         , Socket               ,                                 ,               2.0 ,         4.0,           8.0,       ,      2024.0, Q1 2024
ARM      , ARM GENERIC                                         , Socket               ,                                 ,               2.8 ,         5.0,          20.0,       ,      2026.0, Q1 2026
ARM      , ARM GENERIC                                         , Mobile/EmbeddedSocket,                                 ,                   ,         6.0,           6.0,       ,      2024.0, Q1 2024
ARM      , ARM GENERIC                                         , Socket               ,                                 ,               1.8 ,         6.0,           6.0,       ,      2025.0, Q1 2025
ARM      , ARM GENERIC                                         , Mobile/EmbeddedSocket,                                 ,                   ,         8.0,           8.0,       ,      2023.0, Q1 2023
ARM      , ARM GENERIC                                         , Mobile/EmbeddedSocket,                                 ,               1.8 ,         8.0,           8.0,       ,      2022.0, Q1 2022
ARM      , ARM GENERIC                                         , Socket               ,                                 ,               1.8 ,         8.0,           8.0,       ,      2024.0, Q1 2024
ARM      , ARM GENERIC                                         , Socket               ,                                 ,               2.2 ,         8.0,           8.0,       ,      2024.0, Q1 2024
ARM      , ARM GENERIC                                         , Mobile/EmbeddedSocket,                                 ,               2.4 ,         8.0,           8.0,       ,      2023.0, Q1 2023
Ampere   , AMPERE-1                                            , Socket               ,                                 ,                   ,         4.0,           4.0,       ,      2024.0, Q1 2024
Ampere   , AMPERE-1A                                           , Socket               ,                                 ,               2.6 ,       192.0,         192.0,       ,      2024.0, Q1 2024
Apple    , APPLE M1                                            , Mobile/EmbeddedSocket,                                 ,                   ,         4.0,           4.0,       ,      2023.0, Q1 2023
Apple    , APPLE M1 MAX                                        , Mobile/EmbeddedSocket,                                 ,                   ,        10.0,          10.0,       ,      2022.0, Q1 2022
Apple    , APPLE M5                                            , Socket               ,                                 ,                   ,        10.0,          10.0,  28.0 ,      2025.0, Q1 2025
ARM      , ARMV7                                               , Socket               ,                                 ,                   ,         4.0,           4.0,       ,      2025.0, Q1 2025
ARM      , ARMV7                                               , Socket               ,                                 ,               1.6 ,         4.0,           4.0,       ,      2024.0, Q1 2024
ARM      , ARMV7                                               , Mobile/EmbeddedSocket,                                 ,               1.8 ,         4.0,           4.0,       ,      2023.0, Q1 2023
ARM      , ARMV7                                               , Mobile/EmbeddedSocket,                                 ,               2.1 ,         4.0,           4.0,       ,      2021.0, Q1 2021
ARM      , ARMV7                                               , Socket               ,                                 ,               2.1 ,         4.0,           4.0,       ,      2025.0, Q1 2025
ARM      , ARMV7                                               , Socket               ,                                 ,               1.0 ,         2.0,           2.0,       ,      2025.0, Q1 2025
ARM      , ARMV7                                               , Mobile/EmbeddedSocket,                                 ,               1.2 ,         4.0,           4.0,       ,      2021.0, Q1 2021
ARM      , ARMV7                                               , Mobile/EmbeddedSocket,                                 ,               1.4 ,         4.0,           4.0,       ,      2022.0, Q1 2022
ARM      , ARMV7                                               , Mobile/EmbeddedSocket,                                 ,                   ,         2.0,           2.0,       ,      2023.0, Q1 2023
ARM      , ARMV7                                               , Socket               ,                                 ,               1.2 ,         4.0,           4.0,       ,      2024.0, Q1 2024
ARM      , ARMV8                                               , Socket               ,                                 ,                   ,         6.0,           6.0,       ,      2025.0, Q1 2025
ARM      , ARMV8                                               , Socket               ,                                 ,               2.5 ,         8.0,           8.0,       ,      2025.0, Q1 2025
ARM      , ARMV8                                               , Socket               ,                                 ,               1.5 ,         4.0,           4.0,       ,      2025.0, Q1 2025
ARM      , ARMV8                                               , Mobile/EmbeddedSocket,                                 ,               2.0 ,         4.0,           4.0,       ,      2024.0, Q1 2024
ARM      , ARMV8                                               , Mobile/EmbeddedSocket,                                 ,               1.5 ,         6.0,           6.0,       ,      2023.0, Q1 2023
ARM      , ARMV8                                               , Mobile/EmbeddedSocket,                                 ,               2.0 ,         6.0,           6.0,       ,      2022.0, Q1 2022
ARM      , ARMV8                                               , Mobile/EmbeddedSocket,                                 ,               2.0 ,         6.0,           6.0,       ,      2024.0, Q1 2024
ARM      , AVALANCHE-M2                                        , Mobile/EmbeddedSocket,                                 ,               2.4 ,         4.0,           8.0,       ,      2024.0, Q1 2024
ARM      , CIX P1 CD8180                                       , Socket               ,                                 ,               2.5 ,         7.0,           7.0,       ,      2025.0, Q1 2025
ARM      , CORTEX-A15                                          , Mobile/EmbeddedSocket,                                 ,               1.4 ,         4.0,           8.0,       ,      2023.0, Q1 2023
ARM      , CORTEX-A15                                          , Mobile/EmbeddedSocket,                                 ,               1.5 ,         4.0,           8.0,       ,      2023.0, Q1 2023
ARM      , CORTEX-A15                                          , Mobile/EmbeddedSocket,                                 ,               2.0 ,         4.0,           4.0,       ,      2023.0, Q1 2023
ARM      , CORTEX-A15                                          , Mobile/EmbeddedSocket,                                 ,               1.4 ,         8.0,           8.0,       ,      2022.0, Q1 2022
ARM      , CORTEX-A17                                          , Socket               ,                                 ,                   ,         3.0,           3.0,       ,      2025.0, Q1 2025
ARM      , CORTEX-A17                                          , Mobile/EmbeddedSocket,                                 ,               1.8 ,         4.0,           4.0,       ,      2021.0, Q1 2021
ARM      , CORTEX-A35                                          , Socket               ,                                 ,                   ,         4.0,           4.0,       ,      2024.0, Q1 2024
ARM      , CORTEX-A35                                          , Mobile/EmbeddedSocket,                                 ,               1.2 ,         4.0,           4.0,       ,      2022.0, Q1 2022
ARM      , CORTEX-A35                                          , Mobile/EmbeddedSocket,                                 ,               1.3 ,         4.0,           4.0,       ,      2022.0, Q1 2022
ARM      , CORTEX-A35                                          , Socket               ,                                 ,               1.5 ,         4.0,           4.0,       ,            , 
ARM      , CORTEX-A35                                          , Socket               ,                                 ,               2.0 ,         4.0,           4.0,       ,      2025.0, Q1 2025
ARM      , CORTEX-A53                                          , Socket               ,                                 ,                   ,         1.0,           1.0,       ,      2025.0, Q1 2025
ARM      , CORTEX-A53                                          , Mobile/EmbeddedSocket,                                 ,                   ,         2.0,           2.0,       ,      2024.0, Q1 2024
ARM      , CORTEX-A53                                          , Mobile/EmbeddedSocket,                                 ,                   ,         4.0,           4.0,       ,      2021.0, Q1 2021
ARM      , CORTEX-A53                                          , Mobile/EmbeddedSocket,                                 ,               1.0 ,         4.0,           4.0,       ,      2022.0, Q1 2022
ARM      , CORTEX-A53                                          , Mobile/EmbeddedSocket,                                 ,               1.0 ,         4.0,           4.0,       ,      2023.0, Q1 2023
ARM      , CORTEX-A53                                          , Mobile/EmbeddedSocket,                                 ,               1.2 ,         4.0,           4.0,       ,      2021.0, Q1 2021
ARM      , CORTEX-A53                                          , Mobile/EmbeddedSocket,                                 ,               1.2 ,         4.0,           4.0,       ,      2023.0, Q1 2023
ARM      , CORTEX-A53                                          , Mobile/EmbeddedSocket,                                 ,               1.2 ,         4.0,           4.0,       ,      2021.0, Q1 2021
ARM      , CORTEX-A53                                          , Mobile/EmbeddedSocket,                                 ,               1.3 ,         4.0,           4.0,       ,      2021.0, Q1 2021
ARM      , CORTEX-A53                                          , Mobile/EmbeddedSocket,                                 ,               1.3 ,         4.0,           4.0,       ,      2023.0, Q1 2023
ARM      , CORTEX-A53                                          , Mobile/EmbeddedSocket,                                 ,               1.3 ,         4.0,           4.0,       ,      2023.0, Q1 2023
ARM      , CORTEX-A53                                          , Mobile/EmbeddedSocket,                                 ,               1.4 ,         4.0,           4.0,       ,      2023.0, Q1 2023
ARM      , CORTEX-A53                                          , Mobile/EmbeddedSocket,                                 ,               1.4 ,         4.0,           4.0,       ,      2021.0, Q1 2021
ARM      , CORTEX-A53                                          , Mobile/EmbeddedSocket,                                 ,               1.4 ,         4.0,           4.0,       ,      2021.0, Q1 2021
ARM      , CORTEX-A53                                          , Socket               ,                                 ,               1.4 ,         4.0,           4.0,       ,      2025.0, Q1 2025
ARM      , CORTEX-A53                                          , Mobile/EmbeddedSocket,                                 ,               1.5 ,         4.0,           4.0,       ,      2022.0, Q1 2022
ARM      , CORTEX-A53                                          , Mobile/EmbeddedSocket,                                 ,               1.5 ,         4.0,           4.0,       ,      2021.0, Q1 2021
ARM      , CORTEX-A53                                          , Mobile/EmbeddedSocket,                                 ,               1.5 ,         4.0,           4.0,       ,      2021.0, Q1 2021
ARM      , CORTEX-A53                                          , Mobile/EmbeddedSocket,                                 ,               1.6 ,         4.0,           4.0,       ,      2022.0, Q1 2022
ARM      , CORTEX-A53                                          , Mobile/EmbeddedSocket,                                 ,               1.6 ,         4.0,           4.0,       ,      2024.0, Q1 2024
ARM      , CORTEX-A53                                          , Mobile/EmbeddedSocket,                                 ,               1.7 ,         4.0,           4.0,       ,      2022.0, Q1 2022
ARM      , CORTEX-A53                                          , Mobile/EmbeddedSocket,                                 ,               1.8 ,         4.0,           4.0,       ,      2021.0, Q1 2021
ARM      , CORTEX-A53                                          , Mobile/EmbeddedSocket,                                 ,               1.9 ,         4.0,           4.0,       ,      2022.0, Q1 2022
ARM      , CORTEX-A53                                          , Socket               ,                                 ,               2.0 ,         4.0,           4.0,       ,      2025.0, Q1 2025
ARM      , CORTEX-A53                                          , Mobile/EmbeddedSocket,                                 ,               2.0 ,         4.0,           4.0,       ,      2023.0, Q1 2023
ARM      , CORTEX-A53                                          , Socket               ,                                 ,               2.0 ,         4.0,           4.0,       ,      2025.0, Q1 2025
ARM      , CORTEX-A53                                          , Mobile/EmbeddedSocket,                                 ,               0.6 ,         4.0,           4.0,       ,      2023.0, Q1 2023
ARM      , CORTEX-A53                                          , Mobile/EmbeddedSocket,                                 ,               1.9 ,         6.0,           6.0,       ,      2021.0, Q1 2021
ARM      , CORTEX-A53                                          , Mobile/EmbeddedSocket,                                 ,               1.5 ,         8.0,           8.0,       ,      2021.0, Q1 2021
ARM      , CORTEX-A55                                          , Socket               ,                                 ,                   ,         2.0,           2.0,       ,      2026.0, Q1 2026
ARM      , CORTEX-A55                                          , Socket               ,                                 ,                   ,         4.0,           4.0,       ,      2025.0, Q1 2025
ARM      , CORTEX-A55                                          , Mobile/EmbeddedSocket,                                 ,               1.4 ,         4.0,           4.0,       ,      2023.0, Q1 2023
ARM      , CORTEX-A55                                          , Mobile/EmbeddedSocket,                                 ,               1.8 ,         4.0,           4.0,       ,      2022.0, Q1 2022
ARM      , CORTEX-A55                                          , Socket               ,                                 ,               1.9 ,         4.0,           4.0,       ,      2024.0, Q1 2024
ARM      , CORTEX-A55                                          , Mobile/EmbeddedSocket,                                 ,               2.0 ,         4.0,           4.0,       ,      2022.0, Q1 2022
ARM      , CORTEX-A55                                          , Socket               ,                                 ,               2.0 ,         4.0,           4.0,       ,      2025.0, Q1 2025
ARM      , CORTEX-A55                                          , Socket               ,                                 ,               2.0 ,         4.0,           4.0,       ,      2024.0, Q1 2024
ARM      , CORTEX-A55                                          , Mobile/EmbeddedSocket,                                 ,               2.1 ,         4.0,           4.0,       ,      2021.0, Q1 2021
ARM      , CORTEX-A55                                          , Mobile/EmbeddedSocket,                                 ,               2.1 ,         4.0,           4.0,       ,      2022.0, Q1 2022
ARM      , CORTEX-A55                                          , Socket               ,                                 ,               2.2 ,         4.0,           4.0,       ,      2025.0, Q1 2025
ARM      , CORTEX-A55                                          , Socket               ,                                 ,               2.5 ,         4.0,           4.0,       ,      2025.0, Q1 2025
ARM      , CORTEX-A55                                          , Socket               ,                                 ,               1.8 ,         6.0,           6.0,       ,      2025.0, Q1 2025
ARM      , CORTEX-A55                                          , Socket               ,                                 ,               1.4 ,         8.0,           8.0,       ,      2025.0, Q1 2025
ARM      , CORTEX-A55                                          , Socket               ,                                 ,               1.5 ,         8.0,           8.0,       ,      2025.0, Q1 2025
ARM      , CORTEX-A55                                          , Mobile/EmbeddedSocket,                                 ,               1.8 ,         8.0,           8.0,       ,      2022.0, Q1 2022
ARM      , CORTEX-A57                                          , Mobile/EmbeddedSocket,                                 ,               1.5 ,         2.0,           2.0,       ,      2023.0, Q1 2023
ARM      , CORTEX-A57                                          , Mobile/EmbeddedSocket,                                 ,                   ,         4.0,           4.0,       ,      2024.0, Q1 2024
ARM      , CORTEX-A57                                          , Mobile/EmbeddedSocket,                                 ,               1.5 ,         4.0,           4.0,       ,      2021.0, Q1 2021
ARM      , CORTEX-A57                                          , Mobile/EmbeddedSocket,                                 ,               1.7 ,         4.0,           4.0,       ,      2021.0, Q1 2021
ARM      , CORTEX-A57                                          , Mobile/EmbeddedSocket,                                 ,               1.9 ,         4.0,           4.0,       ,      2023.0, Q1 2023
ARM      , CORTEX-A57                                          , Mobile/EmbeddedSocket,                                 ,               2.0 ,         4.0,           4.0,       ,      2021.0, Q1 2021
ARM      , CORTEX-A57                                          , Socket               ,                                 ,               2.0 ,         4.0,           4.0,       ,            , 
ARM      , CORTEX-A57                                          , Mobile/EmbeddedSocket,                                 ,               2.1 ,         4.0,           4.0,       ,      2022.0, Q1 2022
ARM      , CORTEX-A57                                          , Socket               ,                                 ,               2.3 ,         4.0,           4.0,       ,      2025.0, Q1 2025
ARM      , CORTEX-A57                                          , Mobile/EmbeddedSocket,                                 ,               1.5 ,         8.0,           8.0,       ,      2021.0, Q1 2021
ARM      , CORTEX-A57                                          , Mobile/EmbeddedSocket,                                 ,               1.8 ,         8.0,           8.0,       ,      2022.0, Q1 2022
ARM      , CORTEX-A7                                           , Socket               ,                                 ,               1.0 ,         2.0,           2.0,       ,      2026.0, Q1 2026
ARM      , CORTEX-A7                                           , Mobile/EmbeddedSocket,                                 ,               1.1 ,         2.0,           2.0,       ,      2021.0, Q1 2021
ARM      , CORTEX-A7                                           , Mobile/EmbeddedSocket,                                 ,               1.0 ,         2.0,           2.0,       ,      2021.0, Q1 2021
ARM      , CORTEX-A7                                           , Mobile/EmbeddedSocket,                                 ,               1.0 ,         2.0,           2.0,       ,      2023.0, Q1 2023
ARM      , CORTEX-A7                                           , Mobile/EmbeddedSocket,                                 ,               1.0 ,         4.0,           4.0,       ,      2024.0, Q1 2024
ARM      , CORTEX-A7                                           , Mobile/EmbeddedSocket,                                 ,               1.0 ,         4.0,           4.0,       ,      2022.0, Q1 2022
ARM      , CORTEX-A7                                           , Mobile/EmbeddedSocket,                                 ,               1.2 ,         4.0,           4.0,       ,      2021.0, Q1 2021
ARM      , CORTEX-A7                                           , Mobile/EmbeddedSocket,                                 ,               1.3 ,         4.0,           4.0,       ,      2023.0, Q1 2023
ARM      , CORTEX-A7                                           , Mobile/EmbeddedSocket,                                 ,               1.3 ,         4.0,           4.0,       ,      2022.0, Q1 2022
ARM      , CORTEX-A7                                           , Mobile/EmbeddedSocket,                                 ,               1.4 ,         4.0,           4.0,       ,      2021.0, Q1 2021
ARM      , CORTEX-A7                                           , Socket               ,                                 ,               1.4 ,         4.0,           4.0,       ,      2024.0, Q1 2024
ARM      , CORTEX-A7                                           , Mobile/EmbeddedSocket,                                 ,               0.9 ,         4.0,           4.0,       ,      2021.0, Q1 2021
ARM      , CORTEX-A715                                         , Socket               ,                                 ,               2.2 ,         4.0,           8.0,       ,      2025.0, Q1 2025
ARM      , CORTEX-A72                                          , Socket               ,                                 ,                   ,         1.0,           1.0,       ,      2025.0, Q1 2025
ARM      , CORTEX-A72                                          , Mobile/EmbeddedSocket,                                 ,                   ,        16.0,          16.0,       ,      2021.0, Q1 2021
ARM      , CORTEX-A72                                          , Socket               ,                                 ,               2.0 ,        16.0,          16.0,       ,      2025.0, Q1 2025
ARM      , CORTEX-A72                                          , Mobile/EmbeddedSocket,                                 ,               2.2 ,        16.0,          16.0,       ,      2023.0, Q1 2023
ARM      , CORTEX-A72                                          , Mobile/EmbeddedSocket,                                 ,                   ,         2.0,           2.0,       ,      2021.0, Q1 2021
ARM      , CORTEX-A72                                          , Socket               ,                                 ,               1.2 ,         2.0,           2.0,       ,      2025.0, Q1 2025
ARM      , CORTEX-A72                                          , Socket               ,                                 ,               1.7 ,         2.0,           4.0,       ,      2025.0, Q1 2025
ARM      , CORTEX-A72                                          , Mobile/EmbeddedSocket,                                 ,                   ,         4.0,           4.0,       ,      2021.0, Q1 2021
ARM      , CORTEX-A72                                          , Mobile/EmbeddedSocket,                                 ,               1.0 ,         4.0,           4.0,       ,      2023.0, Q1 2023
ARM      , CORTEX-A72                                          , Mobile/EmbeddedSocket,                                 ,               1.2 ,         4.0,           4.0,       ,      2022.0, Q1 2022
ARM      , CORTEX-A72                                          , Mobile/EmbeddedSocket,                                 ,               1.4 ,         4.0,           4.0,       ,      2023.0, Q1 2023
ARM      , CORTEX-A72                                          , Mobile/EmbeddedSocket,                                 ,               1.5 ,         4.0,           4.0,       ,      2021.0, Q1 2021
ARM      , CORTEX-A72                                          , Mobile/EmbeddedSocket,                                 ,               1.6 ,         4.0,           4.0,       ,      2022.0, Q1 2022
ARM      , CORTEX-A72                                          , Mobile/EmbeddedSocket,                                 ,               1.7 ,         4.0,           4.0,       ,      2023.0, Q1 2023
ARM      , CORTEX-A72                                          , Mobile/EmbeddedSocket,                                 ,               1.8 ,         4.0,           4.0,       ,      2021.0, Q1 2021
ARM      , CORTEX-A72                                          , Mobile/EmbeddedSocket,                                 ,               1.8 ,         4.0,           4.0,       ,      2021.0, Q1 2021
ARM      , CORTEX-A72                                          , Mobile/EmbeddedSocket,                                 ,               1.9 ,         4.0,           4.0,       ,      2021.0, Q1 2021
